#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
26 0.006514 0.003652 0.009071 0.003379 0.0158 0.003067 0.01844 0.002778 0.02305 0.004112 0.01926 0.003993 0.01752 0.004469 0.008031 0.02947 -0.173 0.1541 -0.2706 0.1359 0.886 1.0 68.0
27 0.0749 0.0171 0.08416 0.01199 0.1319 0.01019 0.1453 0.009923 0.1493 0.01271 0.1271 0.01269 0.08075 0.01157 0.1142811 0.1181244 -0.09241568 0.09400269 0.02197968 0.07819219 0.9045 7.0 2103.0
28 0.01775 0.00519 0.009791 0.003879 0.0228 0.003128 0.02356 0.002685 0.03039 0.003354 0.02691 0.003273 0.02617 0.003647 -0.0413656 0.07379017 0.03073756 0.1033969 -0.05376423 0.09342274 0.92585 5.0 1655.0
29 0.004822 0.00268 0.001989 0.002688 0.008736 0.002022 0.01092 0.002103 0.0127 0.003124 0.01547 0.002553 0.0122 0.00229 0.05611 0.02196 -0.05108 0.1875 -0.0841 0.1649 0.9490000009536743 0.0 76.0
30 0.6015 0.01415 0.7507 0.01156 1.503 0.008749 2.044 0.007035 2.243 0.01016 2.365 0.009183 2.179 0.007136 2.8 0.03709 3.658 0.1521 2.841 0.1197 0.996999979019165 0.0 1753.0
31 0.03866 0.008402 0.02847 0.005821 0.06065 0.00504 0.09772 0.003299 0.1099 0.004473 0.1151 0.004392 0.1136 0.006205 0.186467 0.1269487 0.1393121 0.1522888 0.2080763 0.1242032 1.085 7.0 931.0
32 0.007034 0.007117 0.01336 0.004598 0.02781 0.003938 0.05555 0.003431 0.06908 0.003842 0.07609 0.005542 0.09321 0.004923 0.9479375 0.1258518 -0.4792144 0.2416465 -0.3558609 0.1766047 1.1625 6.0 984.0
33 0.01131 0.006925 0.01131 0.004346 0.0103 0.003668 0.01424 0.003123 0.006651 0.003556 0.01252 0.004954 0.02463 0.005828 -0.06164115 0.1086985 0.0962182 0.05871353 -0.1434559 0.05042654 1.1643 6.0 475.0
34 0.02393 0.003895 0.04304 0.003956 0.03765 0.002817 0.04351 0.00266 0.05456 0.003374 0.06096 0.003054 0.06354 0.004352 0.1033 0.02423 0.1042 0.07268 0.1179 0.1029 1.20795 3.0 552.0
35 0.004879 0.00384 0.004123 0.002845 0.003506 0.002461 0.006535 0.001785 0.005447 0.002292 0.008151 0.002306 0.007346 0.002278 -0.002434786 0.1051596 -0.07904655 0.08403321 -0.08436046 0.07072157 1.2188 7.0 21461.0
36 0.1088 0.009905 0.1131 0.009513 0.1766 0.006973 0.3165 0.006362 0.3373 0.008695 0.3325 0.007815 0.3788 0.008838 0.5899 0.05319 0.5011 0.1127 0.493 0.1095 1.225000023841858 0.0 1359.0
