#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST
29 -0.002886 0.008668 0.0009199 0.007791 0.008859 0.005746 0.01441 0.005477 0.02041 0.007785 0.02973 0.007519 0.0184 0.007127 -0.0006777286 0.07536375 0.1582143 0.06500975 -0.3085018 0.09599067 0.9335
30 0.5579 0.0236 0.6605 0.0156 1.364 0.01377 1.701 0.00916 1.868 0.01195 1.95 0.01152 2.033 0.01405 2.276485 0.1964309 2.567389 0.1422199 2.000036 0.1265896 0.9468
31 0.04578 0.005876 0.05133 0.005728 0.09614 0.004211 0.1393 0.005097 0.1473 0.005983 0.1593 0.005817 0.1737 0.006954 0.2832 0.02897 0.1891 0.1062 0.2117 0.1427 1.00775
32 0.0525 0.005916 0.06419 0.005722 0.1132 0.004132 0.1544 0.003706 0.1687 0.005327 0.1813 0.004575 0.1718 0.005184 0.2388 0.04152 0.1863 0.162 0.04445 0.154 1.0099999904632568
33 0.02937 0.005736 0.02759 0.003746 0.04598 0.003136 0.06238 0.002007 0.06683 0.002726 0.06414 0.002641 0.06683 0.003003 0.1185245 0.1239555 0.125616 0.2449812 0.244552 0.2107159 1.055
34 0.2955 0.009493 0.3992 0.008716 0.7497 0.008137 1.191 0.007069 1.395 0.01047 1.577 0.01022 1.666 0.008806 2.658 0.0446 3.035 0.4426 2.317 0.2792 1.08205
35 0.3496 0.009372 0.3926 0.008018 0.6885 0.004783 1.024 0.003049 1.12 0.003991 1.258 0.004099 1.318 0.003869 1.255456 0.1104703 1.388216 0.424749 0.6015924 0.3551696 1.151
36 0.01075 0.004836 0.01209 0.003333 0.01636 0.002932 0.0182 0.002008 0.01179 0.002544 0.01676 0.002565 0.01875 0.003042 0.06685556 0.1044609 -0.002750611 0.09621981 0.06671783 0.08338019 1.155
37 0.03 0.008344 0.03671 0.007332 0.0581 0.005326 0.09371 0.00363 0.09581 0.00574 0.1068 0.004935 0.121 0.008453 0.08392242 0.1078952 -0.1677647 0.05918603 0.2683121 0.0790253 1.1625
38 0.0117 0.003848 0.009385 0.002381 0.01208 0.001997 0.0176 0.002555 0.01177 0.002857 0.01721 0.00396 0.02418 0.003749 -0.0001944042 0.09196637 0.02503191 0.1124354 -0.04780738 0.09782367 1.173
39 -0.003461 0.006237 0.004985 0.004562 0.004963 0.004019 0.01319 0.002705 0.01956 0.003516 0.01882 0.003521 0.01298 0.003494 0.02708567 0.1131235 0.0 -99.0 -0.06622462 0.2171782 1.3115
40 0.01515 0.007965 0.01897 0.00528 0.02504 0.004503 0.04257 0.004014 0.04509 0.004509 0.04065 0.006502 0.05272 0.005564 0.01966546 0.1611451 -0.5978214 0.3522666 0.04626516 0.2449587 1.3235
41 0.1537 0.006417 0.1411 0.00563 0.1482 0.003934 0.2057 0.004162 0.2022 0.005496 0.1766 0.00528 0.214 0.006358 0.1624 0.02966 0.2839 0.09374 -0.003547 0.08683 1.3265
