#       id              ff           errff              cov
#
       135    6.395584e-01    8.056553e-02        0.269774
       136    6.367958e-02    1.390266e-01        0.835674
       137    9.411404e-03    1.484086e-01        0.750173
       138   -1.715323e+00    3.422427e-01        0.317939
       139   -4.577272e-02    9.466091e-02        0.649475
       140   -2.656432e-02    1.139562e-01        0.702602
       141    1.068497e-01    9.870026e-02        0.344176
       142    3.351608e-01    8.399057e-02        0.313116
       143    8.901979e-03    9.658771e-02        0.982971
       144   -7.663909e-03    7.968313e-02        0.259113
       145    2.282982e-02    8.034984e-02        0.281032
       146    1.980345e+00    1.554292e-01        0.941520
       147    3.529962e-02    1.116756e-01        0.731594
       148    1.204178e-01    7.903393e-02        0.339454
       149   -4.071519e-02    1.178612e-01        1.036098
       150    9.614866e+00    1.510870e-01        0.284415
       151    2.652686e-01    1.631182e-01        0.984009
       152    4.530378e-01    2.006498e-01        0.715321
       153    4.279107e-02    1.168736e-01        1.100588
       154    6.664533e+00    3.580337e-01        0.668891
       155   -1.093764e-01    7.913448e-02        0.324088
       156    3.402790e-04    2.024607e-01        0.890153
       157    2.445811e-01    1.192621e-01        0.740108
       158    3.250319e-01    1.699263e-01        0.997374
       159    5.002187e-02    9.975015e-02        0.587049
       160    2.534870e-01    1.322519e-01        0.638498
       161    2.692163e-02    1.661284e-01        0.958992
       162    4.349602e-02    9.316780e-02        0.741906
       163    4.012544e+01    4.976146e-01        0.346271
       164    1.623715e-01    9.703050e-02        0.675832
       165    1.324031e-01    1.170175e-01        0.768774
       166   -1.123738e-01    9.413950e-02        0.457779
       167    1.226329e+00    1.279410e-01        0.707173
       168   -1.488198e-01    9.515157e-02        0.653043
       169   -8.188321e-02    8.960016e-02        1.174363
       170   -1.917449e-02    7.766232e-02        0.215594
       171   -3.004578e-02    1.220310e-01        0.800153
       172    3.770375e-02    2.265751e-01        1.404032
       173    2.505990e-02    1.166783e-01        0.820317
       174   -1.020652e-01    1.985033e-01        0.713818
       175   -1.834663e-01    8.104654e-02        0.117545
       176   -2.480600e-02    8.464485e-02        0.781181
       177   -7.770672e-03    1.223326e-01        0.680435
       178   -9.160304e-04    1.265852e-01        0.659001
       179    2.886750e-01    5.322411e-01        1.093858
       180    2.997384e-01    7.744610e-02        0.229688
       181    4.311278e-02    8.180656e-02        0.354403
       182    6.765445e-02    1.293190e-01        0.809491
       183    2.290627e+00    9.913087e-02        0.618517
       184    8.501327e-03    1.207956e-01        0.802280
       185    2.408724e-01    9.895171e-02        0.618519
       186   -3.759577e-02    1.384930e-01        0.692578
       187    1.779615e-01    1.136148e-01        0.693968
       188   -8.107774e-03    1.230989e-01        0.591155
       189    1.931377e-02    9.290051e-02        0.454770
       190    7.985587e-02    8.714755e-02        0.831857
       191    3.773433e-01    9.362523e-02        0.402999
       192   -4.955155e-01    3.317018e-01        0.466990
       193   -1.739945e-01    7.186449e-02        0.090343
       194    3.530304e-02    8.783621e-02        0.528465
       195    9.907002e+00    1.809707e-01        0.736387
       196    7.581212e-02    8.031806e-02        0.157577
       197    5.261760e-02    8.013664e-02        0.448039
       198   -1.115823e-01    1.121169e-01        0.461481
       199    2.987612e+00    9.148460e-02        0.143354
       200    6.375592e-01    8.081501e-02        0.356587
       201    3.262660e-01    1.985695e-01        1.169674
       202    3.421237e-01    1.138994e-01        0.822789
       203    3.092976e+01    3.703830e-01        0.157509
       204    3.123077e+00    1.079889e-01        0.527875
       205    1.632365e+00    2.373401e-01        0.707692
       206    1.353819e+01    1.362170e-01        0.157101
       207   -4.401312e-02    1.368220e-01        0.989903
       208    4.989100e-02    2.146575e-01        0.586389
       209    9.485263e-02    1.012709e-01        0.592653
       210   -2.139613e-01    1.886503e-01        0.356535
       211    2.385922e-01    1.341863e-01        0.592810
       212    2.736085e-02    1.165908e-01        0.851559
       213    2.795397e-02    8.052811e-02        0.421007
       214    8.019206e-02    1.371865e-01        0.917461
       215   -1.307002e-01    1.012506e-01        0.706937
       216    2.596896e+00    8.176056e-02        0.095048
       217    4.097466e-02    1.195921e-01        0.894032
       218   -2.283966e-02    1.658025e-01        0.982869
       219    3.847356e-01    1.029467e-01        0.658763
       220   -1.409244e-01    1.285875e-01        0.838095
       221    2.102542e+01    2.966029e-01        0.338518
       222    2.411059e-01    1.515061e-01        0.557057
       223   -6.703503e-03    8.077561e-02        0.418431
       224   -1.909915e+00    3.637673e-01        0.634666
       225    3.007821e-02    1.414473e-01        0.735737
       226    4.647883e-02    1.308922e-01        0.808841
       227    1.647056e-03    1.743919e-01        1.034723
       228    1.768733e+00    1.894392e-01        0.382470
       229    8.324891e-01    8.616730e-02        0.270449
       230    6.292646e-02    1.943813e-01        0.908718
       231    1.850698e-01    1.170213e-01        0.621359
       232   -4.904621e-02    1.897636e-01        0.961757
       233   -8.700575e-03    2.003382e-01        0.862906
       234    4.793017e-03    8.739631e-02        1.091680
       235    3.881072e-03    1.805028e-01        0.761824
       236   -5.222946e-03    8.512529e-02        0.228352
       237    1.152545e-01    9.419891e-02        0.458550
       238    3.031535e+01    3.851054e-01        0.493085
       239   -1.130480e-01    8.528216e-02        0.190705
       240    2.093233e-01    4.797345e-01        1.306427
       241   -9.789135e-03    1.646818e-01        0.915233
       242    1.040717e-01    1.941737e-01        0.462996
       243    3.189963e-01    1.869669e-01        1.339638
       244   -4.356004e-02    1.415932e-01        0.827355
       245    1.293773e-01    1.399994e-01        0.877777
       246   -1.887578e-02    1.386695e-01        0.862613
       247   -4.304832e-01    2.925645e-01        0.183447
       248    3.364475e-02    8.160841e-02        0.349687
       249   -1.426856e-01    2.331410e-01        0.631686
       250    2.541281e-01    7.799914e-02        0.391724
       251    1.115719e-01    7.724182e-02        0.467290
       252    4.339563e-02    7.901561e-02        0.449633
       253    6.719879e-01    8.276330e-02        0.407957
       254   -1.876149e-04    7.486763e-02        0.235738
       255    1.628452e-01    1.167785e-01        1.320928
       256    1.739492e-02    7.283193e-02        0.149845
       257    7.640713e-01    2.765587e-01        0.257185
       258    2.525498e-02    8.985687e-02        0.353267
       259    1.500895e+00    9.047489e-02        0.248350
       260    6.682748e+01    5.858216e-01        0.036933
       261   -2.135439e-02    1.227503e-01        0.701955
       262    6.765319e-02    8.979486e-02        0.497130
       263   -4.186766e-02    7.418071e-02        0.276576
       264    1.637390e-02    7.467175e-02        0.227920
       265   -3.223937e-01    2.042579e-01        0.730650
       266    2.475911e-01    1.790176e-01        0.951207
       267    6.423584e+00    1.646468e-01        0.987334
       268    4.505624e-01    9.547091e-02        0.555373
       269   -9.212317e-02    1.092284e-01        0.706538
       270    4.285565e-01    1.118741e-01        0.621177
       271   -2.823668e-02    1.478937e-01        0.756391
       272    3.259814e+00    1.994081e-01        0.284645
       273    1.366231e-02    1.122661e-01        0.789067
       274    1.665782e-02    7.862078e-02        0.351386
       275    7.108957e-01    7.445955e-02        0.305595
       276   -4.882728e-02    1.429487e-01        0.903972
       277   -3.107713e-02    1.283532e-01        0.373659
       278    4.354571e-02    9.662072e-02        0.438439
       279   -5.719694e-02    9.904066e-02        0.302794
       280   -2.838864e-01    1.578543e-01        0.410863
       281    3.163431e-01    7.737181e-02        0.354067
       282   -1.216766e-01    8.829050e-02        0.816864
       283   -6.647106e-02    9.603798e-02        0.308369
       284    1.503816e+01    1.785060e-01        0.210541
       285    1.252793e-01    1.604375e-01        0.506456
       286    1.316153e-02    8.056528e-02        0.419186
       287   -1.632513e-01    8.230248e-02        0.589960
       288   -2.738181e-01    2.546982e-01        0.459071
       289   -2.192620e-02    8.004221e-02        0.436165
       290    7.313017e-04    1.207808e-01        0.597475
       291   -7.164320e-02    8.135746e-02        0.357617
       292   -2.923717e-02    7.873229e-02        0.381862
       293    3.784232e-02    1.395538e-01        0.859225
       294    1.188077e+00    9.020735e-02        0.259288
       295    1.401273e-01    1.147239e-01        0.720075
       296    1.443161e+00    9.335760e-02        0.471427
       297    2.486587e-01    8.277787e-02        0.302158
       298    1.311546e-01    1.264731e-01        1.229768
       299   -3.374755e-02    8.011416e-02        0.366129
       300   -2.077885e-01    1.678741e-01        0.363280
       301    2.994479e-01    9.822177e-02        0.607450
       302    1.279642e-02    1.151507e-01        0.655085
       303   -3.518090e-01    1.365143e-01        0.802225
       304   -6.954514e-02    7.810851e-02        0.342898
       305    1.129571e+00    8.827960e-02        0.527221
       306    3.991120e-01    7.978380e-02        0.295093
       307   -1.041224e-01    2.317233e-01        0.438482
       308    1.601694e-02    7.765832e-02        0.220395
       309    3.513493e-01    1.296756e-01        0.456179
       310   -9.767033e-01    4.169707e-01        0.420600
       311    1.948965e-02    1.217476e-01        0.794005
       312    3.103152e-05    9.461960e-02        0.457179
       313    1.140391e-01    9.037225e-02        0.504133
       314    8.118116e-02    8.834652e-02        0.479527
       315    7.480097e-02    1.337591e-01        0.553399
       316    1.330356e-01    2.393907e-01        1.437577
       317    1.894319e-01    1.605103e-01        0.703660
       318   -1.058223e-02    1.142169e-01        0.710544
       319   -4.829169e-02    8.467421e-02        0.426280
       320    3.199427e-02    7.525476e-02        0.476393
       321   -2.521339e-02    8.084636e-02        0.318854
       322    9.212529e-02    1.597823e-01        0.511465
       323    2.562248e-01    8.039553e-02        0.273388
       324   -5.367441e-02    8.427649e-02        0.293427
       325    2.953187e+00    1.109090e-01        0.297535
       326    2.628884e-02    9.130868e-02        0.728537
       327    1.248851e+00    1.201813e-01        0.505123
       328    2.640220e-02    7.698908e-02        0.305717
       329    4.313759e-01    1.407039e-01        0.454915
       330   -8.571589e-02    1.542804e-01        0.708502
       331   -3.617978e-02    1.789367e-01        0.595642
       332    5.726694e-03    7.751819e-02        0.414941
       333    6.576832e-02    7.508003e-02        0.220805
       334   -1.025511e-01    4.138739e-01        0.480962
       335   -3.397590e-02    8.564548e-02        0.533412
       336   -3.955836e-02    1.083661e-01        0.602719
       337   -5.959019e-05    1.024722e-01        0.674047
       338   -3.072408e-02    8.164941e-02        0.458448
       339    1.130903e-01    1.107705e-01        0.733999
       340    2.470478e-02    1.860480e-01        0.750984
       341    8.086110e-02    8.933862e-02        0.468937
       342    7.608254e-03    9.191325e-02        0.384285
       343    1.542893e-01    1.119363e-01        0.809759
       344   -4.708448e-02    7.969083e-02        0.502059
       345    6.273060e-02    1.293194e-01        0.883623
       346    5.670628e-02    1.699526e-01        0.836877
       347    6.082773e+00    1.250029e-01        0.313594
       348    9.861657e-02    1.625323e-01        0.915035
       349    4.753359e-02    9.086446e-02        0.423212
       350   -6.942946e-02    8.520591e-02        0.421941
       351   -9.332832e-02    1.136431e-01        0.483905
       352   -6.238945e-02    7.785653e-02        0.311354
       353   -9.178005e-03    8.898722e-02        0.352785
       354    1.429814e-01    7.874467e-02        0.208459
       355    2.129690e+01    2.775122e-01        0.316318
       356   -2.127671e-02    1.229412e-01        0.788900
       357    1.191511e-01    8.082397e-02        0.470051
       358    4.627927e+00    1.144340e-01        0.292381
       359   -1.289351e-01    7.218661e-02        0.137265
       360   -5.216612e-01    1.356039e-01        0.364837
       361   -9.725472e-02    7.896613e-02        0.306344
       362   -3.155336e-02    8.158712e-02        0.401827
       363    6.300882e-02    2.511827e-01        0.874015
       364   -8.094597e-02    8.187812e-02        0.355933
       365    1.807908e-01    8.434138e-02        0.489876
       366    2.044817e+00    1.076055e-01        0.731984
       367   -8.479673e-02    9.310858e-02        0.832808
       368   -1.023208e-02    8.783588e-02        0.652132
       369    2.385675e-01    8.178989e-02        0.366093
       370    3.915670e-01    8.994165e-02        0.446245
       371    4.171053e-01    1.045699e-01        0.355532
       372   -1.680742e-01    1.147320e-01        0.280094
       373    4.225497e-02    9.126612e-02        0.292336
       374   -8.721237e-02    7.928032e-02        0.512082
       375   -2.221926e-01    7.501114e-02        0.315800
       376   -3.755931e-01    1.416433e-01        0.363424
       377   -1.489730e-02    7.790785e-02        0.192338
       378    2.365586e-01    9.637778e-02        0.486725
       379   -4.684455e-03    8.370666e-02        0.324616
       380   -6.938808e-02    7.222564e-02        0.317196
       381   -5.966647e-02    1.870713e-01        1.345842
       382   -1.325311e-01    1.247742e-01        0.760249
       383    2.446056e-02    1.297242e-01        0.532148
       384   -2.325706e-02    8.393120e-02        0.512139
       385   -6.016402e-02    1.025432e-01        0.358402
       386    6.598603e-02    7.693394e-02        0.216866
       387   -4.978891e-02    7.457937e-02        0.227315
       388   -6.147884e-02    1.130534e-01        0.722238
       389    1.584887e+00    1.227105e-01        0.562865
       390   -2.269316e-02    1.730378e-01        0.647590
       391    1.774644e+00    1.189637e-01        0.464211
       392    7.133831e-02    9.485339e-02        0.368270
       393   -2.817244e-02    8.544292e-02        0.359322
       394   -3.282773e-01    2.406943e-01        0.231182
       395    3.336261e+02    3.330869e+00        0.047293
       396    6.063909e+00    1.522401e-01        0.418519
       397    1.013245e+01    1.653781e-01        0.426799
       398    2.471972e+01    4.016801e-01        0.602768
       399    1.810463e-01    1.397840e-01        0.458310
       400   -8.121939e-02    1.202172e-01        0.760723
       401    1.631285e-01    1.166789e-01        0.343443
       402   -8.748296e-02    7.711265e-02        0.435350
       403   -2.904034e-02    1.116609e-01        0.582343
       404   -6.441709e-01    1.244137e-01        0.626667
       405    1.972683e-01    1.134629e-01        0.717033
       406   -1.402790e-01    8.752881e-02        0.370805
       407   -1.707642e-02    1.413427e-01        0.548147
       408    3.883980e-02    1.555188e-01        0.656238
       409   -3.954548e-01    1.358908e-01        0.453644
       410    2.713768e-01    1.004419e-01        0.719699
       411   -1.898895e-03    7.671633e-02        0.353944
       412    3.342517e-01    7.663947e-02        0.282572
       413   -6.369057e-02    9.372278e-02        0.413780
       414   -1.897954e-01    7.442224e-02        0.160599
       415    6.296806e+00    2.616417e-01        0.852236
       416    8.874632e-02    8.381836e-02        0.345232
       417   -4.789497e-03    7.649442e-02        0.204473
       418    2.410793e-02    2.003864e-01        0.603030
       419    4.394729e-01    1.398519e-01        0.792800
       420    7.856915e-01    1.186747e-01        0.852177
       421   -1.092361e-01    8.097383e-02        0.516401
       422   -1.396892e-01    9.257085e-02        0.610101
       423    1.939504e-02    2.029261e-01        0.828258
       424    9.645512e-02    8.690691e-02        0.441662
       425    2.538856e-01    1.336494e-01        0.244202
       426    1.916538e-01    8.851609e-02        0.849770
       427    7.603826e-02    2.021858e-01        0.834334
       428    3.979420e-02    1.463206e-01        0.581007
       429    7.042611e-03    8.816613e-02        0.392144
       430   -1.630054e-02    8.208222e-02        0.388860
       431    5.522585e-02    1.559816e-01        0.995242
       432   -1.428739e-01    9.485958e-02        0.605043
       433   -6.668503e-02    1.273298e-01        0.312159
       434   -1.892352e-01    1.130485e-01        0.377806
       435    5.696228e-01    8.720195e-02        0.511256
       436   -5.031290e-02    7.113509e-02        0.210907
       437    1.022994e+00    9.555467e-02        0.572595
       438    8.288694e-02    1.204485e-01        0.504251
       439   -8.400365e-02    1.012448e-01        1.078554
       440   -9.763489e-01    3.769029e-01        0.684624
       441   -1.693082e-01    9.941204e-02        0.740238
       442    1.146876e-01    1.475988e-01        0.535815
       443   -1.063933e-02    8.024517e-02        0.658108
       444    8.643010e-01    8.428476e-02        0.433599
       445    5.742315e-02    1.305523e-01        0.569925
       446   -6.518918e-01    2.916704e-01        0.422511
       447   -1.193972e-01    7.325554e-02        0.157504
       448   -2.672883e-02    1.313695e-01        0.839499
       449    1.070386e-01    9.653001e-02        0.671815
       450    1.821079e-02    1.000342e-01        0.694273
       451   -9.818049e-02    8.591947e-02        0.394281
       452   -8.755597e-02    1.070216e-01        0.600118
       453   -4.592090e-03    9.071037e-02        0.458130
       454    1.588987e-02    7.788467e-02        0.401667
       455    1.567023e-01    8.374041e-02        0.563971
       456    6.313322e-02    1.032751e-01        0.558417
       457    1.739276e-01    1.301297e-01        0.573631
       458   -2.702966e-01    9.455665e-02        0.908562
       459    1.214356e-02    1.585615e-01        1.061059
       460   -6.609806e-03    1.178854e-01        0.816363
       461    9.742064e-03    9.138297e-02        0.632288
       462   -7.652039e-02    7.755540e-02        0.401847
       463   -5.086517e-02    8.367363e-02        0.399465
       464    2.314909e-01    1.430619e-01        0.707881
       465   -2.205187e-02    9.116035e-02        0.436757
       466    4.040763e-03    1.110091e-01        0.761652
       467   -5.839017e-02    1.274627e-01        0.765643
       468   -6.445990e-02    8.153513e-02        0.399095
       469   -6.556264e-02    7.822935e-02        0.273173
       470   -3.815062e-01    1.384213e-01        0.245131
       471   -8.793353e-02    1.146932e-01        0.515940
       472   -8.767783e-02    7.653905e-02        0.461154
       473    1.180801e+00    8.589019e-02        0.340555
       474   -9.113929e-02    1.164887e-01        0.720340
       475   -4.086870e-02    1.109590e-01        0.518623
       476   -5.060843e-02    8.305988e-02        0.405391
       477    2.104445e-01    1.766765e-01        0.673727
       478   -2.333503e-02    1.247730e-01        0.727267
       479    8.649805e-02    7.728713e-02        0.395054
       480    1.039643e+01    3.091898e-01        0.610274
       481   -1.507282e-01    1.175872e-01        0.511188
       482    5.725184e-03    9.977282e-02        0.530420
       483    3.838721e+00    1.066891e-01        0.433345
       484    4.797459e-01    9.743224e-02        0.493514
       485    1.135477e-02    1.182126e-01        0.810227
       486    1.087818e-02    9.489112e-02        0.525433
       487   -1.862807e-01    7.756485e-02        0.266030
       488    1.497061e+00    7.930681e-02        0.281512
       489   -5.296066e-02    1.111437e-01        0.791289
       490   -7.424293e-02    7.629939e-02        1.955163
       491    2.348311e-01    1.017664e-01        0.413414
       492    5.330530e-01    8.267423e-02        0.393764
       493   -5.825268e-04    7.678434e-02        0.293644
       494    4.498032e-02    1.437175e-01        0.625624
       495   -8.097243e-01    2.341416e-01        2.491573
       496    2.086183e+00    1.008238e-01        0.460869
       497    8.997618e-01    7.493876e-02        0.216866
       498    1.288882e-01    1.532669e-01        0.882179
       499    3.490751e-03    9.412883e-02        0.515996
       500   -7.189212e-02    1.594122e-01        0.815474
       501    8.031768e-01    1.231694e-01        0.618683
       502    1.720142e-01    7.900763e-02        0.358683
       503    1.116757e-01    1.073641e-01        0.511217
       504   -2.182496e-02    1.082325e-01        0.620108
       505    3.259054e+00    1.061168e-01        0.331288
       506    2.091305e-02    1.099469e-01        0.546335
       507    2.632170e+00    9.025413e-02        0.304672
       508   -7.845646e-02    7.794539e-02        0.314990
       509    1.678172e-01    7.780071e-02        0.164391
       510   -3.307929e-02    1.391822e-01        0.561356
       511   -2.017658e-02    8.180673e-02        0.588278
       512    1.578925e-01    1.278074e-01        0.791081
       513    1.299243e-01    7.637118e-02        3.243996
       514    1.302296e-01    9.596664e-02        0.638565
       515    9.128710e-02    1.330664e-01        0.532462
       516   -4.782905e-02    8.319356e-02        0.332168
       517    1.082367e-02    7.953613e-02        0.446620
       518   -3.447111e-02    1.469846e-01        0.828679
       519   -1.704543e-01    7.483245e-02        0.141379
       520   -2.717180e-02    1.127249e-01        0.644195
       521    2.781084e-01    1.251100e-01        0.620166
       522    3.826667e-03    1.015161e-01        0.664654
       523    1.693617e-02    1.508044e-01        0.783561
       524   -2.898107e-02    7.688212e-02        0.333734
       525    1.817556e-02    9.979001e-02        0.557246
       526   -2.379148e-02    7.989503e-02        0.420783
       527   -1.755906e-01    8.711421e-02        0.415718
       528   -8.965413e-03    1.003794e-01        0.679795
       529    8.302887e-02    9.247270e-02        0.600074
       530    1.181392e-02    1.007558e-01        0.534319
       531    1.323508e+00    8.624599e-02        0.384741
       532   -8.460516e-02    8.699314e-02        0.372083
