#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
1 0.5792 0.06198 1.435 0.04083 8.201 0.03698 19.21 0.03396 27.06 0.04425 32.73 0.04122 38.18 0.03829 66.95303 0.3034165 86.90192 1.090762 62.48154 0.5207428 0.95 7.0 1.0
2 0.2114 0.01909 0.296 0.01269 0.3096 0.01063 0.5108 0.01149 0.6828 0.01469 0.7923 0.01429 0.9503 0.0183 0.6391684 0.16753 0.8230674 0.09377889 0.8393505 0.0774762 1.829 7.0 4.0
3 0.06864 0.01574 0.07267 0.01031 0.1693 0.009032 0.1801 0.0132 0.1969 0.01572 0.2148 0.01532 0.2298 0.01931 0.2269839 0.1523374 0.4005736 0.1023894 0.397816 0.07593689 0.881 7.0 6.0
4 0.1509 0.01538 0.3264 0.01038 0.5199 0.008826 0.6042 0.008485 0.6452 0.01094 0.6427 0.01061 0.7228 0.01269 0.5253626 0.1665918 0.3304994 0.09571171 0.2600884 0.08047792 0.44 7.0 8.0
5 0.6801 0.02722 1.643 0.01913 2.206 0.01567 2.552 0.01436 2.68 0.0185 2.752 0.01792 2.877 0.02118 2.537713 0.2363712 1.28781 0.1902782 1.113903 0.1344966 0.1985 7.0 9.0
6 0.3174 0.02123 0.4519 0.01387 1.074 0.01213 1.641 0.00974 2.099 0.01287 2.218 0.01246 2.451 0.01307 3.220891 0.1699173 4.560601 0.1397129 3.464633 0.09457357 1.0035 7.0 10.0
7 0.007841 0.006281 0.05333 0.004507 0.09146 0.003823 0.08073 0.005917 0.08356 0.00657 0.09245 0.007183 0.07628 0.007822 0.01237259 0.1314453 0.0639213 0.120586 0.2299115 0.0820187 3.945 7.0 11.0
8 -0.01914 0.01574 0.03033 0.01038 0.05894 0.009211 0.1237 0.008178 0.1646 0.01074 0.2045 0.0107 0.2066 0.0118 0.1084941 0.1501786 0.3631489 0.09797749 0.264979 0.0822633 1.064 7.0 12.0
9 1.05 0.04065 1.805 0.02689 4.246 0.02346 6.336 0.01602 7.669 0.02116 8.308 0.02004 8.752 0.02246 11.29608 0.3335873 14.48443 0.2168999 10.7566 0.133839 0.8865 7.0 13.0
10 -0.02215 0.018 0.0856 0.01192 0.2247 0.01057 0.346 0.007878 0.4477 0.01025 0.5384 0.009869 0.71 0.01409 1.377042 0.1906972 2.039828 0.1734348 2.353642 0.121796 2.169999 7.0 14.0
11 0.7278 0.05192 3.052 0.03605 13.06 0.03259 24.21 0.02309 31.49 0.03094 36.89 0.02859 42.79 0.02102 68.57662 0.1975443 81.77059 1.85508 53.78843 0.7427702 0.7770000100135803 7.0 15.0
12 1.605 0.02985 2.039 0.01954 3.454 0.01623 5.303 0.0127 5.627 0.01674 6.119 0.01581 6.69 0.01473 8.141746 0.1775203 10.56671 0.2754717 8.874064 0.176789 1.126 7.0 16.0
13 0.407 0.03079 0.8893 0.02078 2.299 0.01833 4.596 0.01279 6.281 0.01699 7.258 0.01608 8.092 0.01601 13.67699 0.2144704 20.68546 0.3390402 17.20745 0.1938963 1.0276 7.0 17.0
14 -0.009228 0.01045 0.009531 0.006982 0.03513 0.006172 0.04834 0.00603 0.05493 0.007858 0.05035 0.007708 0.0675 0.008581 -0.000194987 0.1341983 -0.01856468 0.1415673 -0.1047572 0.106411 0.6455 7.0 18.0
15 0.04462 0.009244 0.05579 0.00601 0.1183 0.00525 0.1735 0.003812 0.1918 0.004966 0.2052 0.004843 0.2375 0.0063 0.2199992 0.1327532 0.1618838 0.1277129 0.08502688 0.1016881 0.763 7.0 19.0
16 -0.001093 0.004927 0.007188 0.003251 0.0237 0.002914 0.02266 0.002035 0.0193 0.002603 0.01808 0.002579 0.02052 0.003162 -0.0008747364 0.1095002 0.1543711 0.08809057 0.08778976 0.07527293 4.498 7.0 20.0
17 0.08571 0.02007 0.0475 0.01281 0.1186 0.01142 0.1842 0.009718 0.205 0.012 0.2518 0.01184 0.2421 0.0276 0.2918151 0.1841399 -67.0 -67.0 -67.0 -67.0 1.015 7.0 22.0
18 0.01245 0.01812 0.1212 0.01203 0.2862 0.0106 0.6949 0.008095 0.9534 0.01041 1.083 0.01005 1.199 0.009895 1.600747 0.1978351 1.579642 1.035721 0.6522249 0.5335181 0.135 7.0 23.0
19 0.001234 0.009226 -9.949e-05 0.00596 4.535e-05 0.005316 0.02207 0.004672 0.02256 0.006075 0.03026 0.006163 0.03595 0.006299 -0.1086806 0.1099251 -0.1635745 0.09494359 -0.02150154 0.07786655 6.9615 7.0 24.0
20 0.05065 0.01591 0.1647 0.01088 0.3348 0.009469 0.4193 0.009074 0.4805 0.0116 0.5333 0.01136 0.6027 0.01252 0.5264723 0.1729432 0.7710667 0.2197249 1.092072 0.1467814 0.674 7.0 25.0
21 0.003815 0.007595 0.01267 0.005092 0.01914 0.00443 0.02188 0.004464 0.02246 0.005992 0.0219 0.005777 0.03188 0.006392 -0.0820578 0.1255672 -0.1833805 0.1697931 0.0202679 0.1182164 0.549 7.0 26.0
22 0.0187 0.01184 0.07019 0.008148 0.1531 0.007106 0.2205 0.01052 0.2316 0.01523 0.2726 1685000000.0 0.3054 0.04042 0.107878 0.1549789 0.3716792 0.09247287 0.6085379 0.07407416 0.9635 7.0 27.0
23 -0.0009518 0.03053 0.06853 0.01984 0.2208 0.01769 0.4803 0.01376 0.5749 0.0175 0.6966 0.01705 0.7547 0.02694 0.636812 0.2747378 0.9571823 0.2610595 -67.0 -67.0 0.9185 7.0 28.0
24 0.05147 0.007407 0.08072 0.004933 0.1754 0.004236 0.2338 0.003891 0.2658 0.005004 0.2831 0.004557 0.3166 0.004364 0.2133422 0.1274793 -1.426433 0.6533908 -1.162529 0.3357961 0.695 7.0 29.0
25 0.5638 0.01496 0.5083 0.009146 0.5246 0.007125 0.5092 0.00487 0.616 0.006374 0.6109 0.006075 0.6036 0.007107 1.017215 0.1417475 0.6418405 0.08750115 0.6085718 0.07149234 2.048999 7.0 30.0
