#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original UID
26 0.003645 0.006302 0.05536 0.006479 0.1132 0.004724 0.1591 0.004275 0.1656 0.005788 0.1739 0.005196 0.1772 0.005759 0.2718 0.04313 -67.0 -67.0 0.4839 0.1039 4.051499843597412 0.0 220.0 0_220
27 0.01917 0.005106 0.03214 0.005171 0.03012 0.00385 0.03088 0.00524 0.04231 0.00733 0.05153 0.006416 0.07564 0.007124 0.06986 0.03569 -0.1174 0.1558 0.02378 0.149 2.618000030517578 0.0 234.0 0_234
28 0.02644 0.009042 0.1475 0.008368 0.2931 0.006191 0.4108 0.005373 0.4668 0.007439 0.4693 0.006653 0.4749 0.006731 0.5424 0.03965 1.051 0.1128 0.9909 0.1062 2.3036000728607178 0.0 256.0 0_256
29 -0.005984 0.005681 0.006242 0.006044 0.01821 0.004541 0.03827 0.004253 0.04124 0.005746 0.03685 0.00513 0.05369 0.00611 0.04028 0.03698 0.4968 0.2317 0.5891 0.1804 5.248700141906738 0.0 263.0 0_263
30 0.6807 0.01424 0.7478 0.01323 1.138 0.009796 2.127 0.008796 2.354 0.01245 2.577 0.01118 2.866 0.009117 3.357 0.04291 4.176 0.1758 4.309 0.163 1.371999979019165 0.0 273.0 0_273
31 0.07591 0.007162 0.1076 0.007156 0.1317 0.005279 0.1746 0.004783 0.1723 0.00652 0.1824 0.005833 0.1896 0.006419 0.3785 0.04603 0.3358 0.1235 0.3232 0.1507 1.1399999856948853 0.0 283.0 0_283
32 0.1295 0.01181 0.1934 0.0103 0.1974 0.007244 0.1703 0.004734 0.1815 0.006353 0.1907 0.005711 0.2204 0.006268 0.3035 0.04493 -0.1009 0.3875 0.1416 0.3583 2.9885001182556152 0.0 284.0 0_284
33 0.2398 0.009378 0.2982 0.008835 0.4505 0.006551 0.7699 0.005898 0.8678 0.008263 0.9474 0.007423 1.007 0.006846 1.141 0.03709 1.33 0.313 1.233 0.302 1.2285000085830688 0.0 296.0 0_296
34 0.4245 0.01044 0.4368 0.009296 0.5143 0.006812 0.9133 0.006115 0.9387 0.00852 0.7939 0.007568 0.9292 0.007947 0.7983 0.04406 0.7875 0.2615 0.8481 0.2377 1.371999979019165 0.0 301.0 0_301
35 0.1611 0.00678 0.1658 0.006321 0.1606 0.004651 0.1601 0.004213 0.1907 0.005781 0.2298 0.005184 0.2437 0.005394 0.3837 0.03452 0.6405 0.1681 0.6907 0.1417 2.241499900817871 0.0 304.0 0_304
36 0.1124 0.007543 0.1115 0.00731 0.1592 0.005412 0.2607 0.00497 0.2628 0.006817 0.2927 0.006113 0.2662 0.006545 0.3424 0.04612 0.5747 0.1193 0.4521 0.1239 1.1308000087738037 0.0 311.0 0_311
37 0.006802 0.00596 0.1227 0.006389 0.23 0.004727 0.2357 0.004187 0.2341 0.00574 0.2534 0.00515 0.2449 0.005474 0.4413 0.03949 0.4368 0.1406 0.5382 0.139 4.006499767303467 0.0 331.0 0_331
38 0.2023 0.008863 0.2197 0.008374 0.2556 0.006208 0.4383 0.00565 0.4625 0.007786 0.4452 0.006966 0.4486 0.007222 0.5205 0.04728 -67.0 -67.0 -67.0 -67.0 1.4220000505447388 0.0 333.0 0_333
39 0.03196 0.005523 0.05106 0.005754 0.06323 0.004266 0.1118 0.003935 0.18 0.005381 0.2336 0.00486 0.2539 0.004915 0.5555 0.03326 1.319 0.1191 1.428 0.1209 1.933899998664856 0.0 338.0 0_338
40 0.09355 0.005735 0.09204 0.00539 0.1143 0.003969 0.1924 0.003588 0.2049 0.004939 0.1962 0.004411 0.2226 0.00455 0.2675 0.0364 0.6165 0.1122 0.5677 0.1116 1.3734999895095825 0.0 351.0 0_351
41 0.01974 0.006382 0.07114 0.006672 0.1225 0.004942 0.13 0.004458 0.1564 0.006061 0.1709 0.005441 0.221 0.005813 0.4685 0.04246 0.673 0.117 0.7444 0.1159 3.3066999912261963 0.0 360.0 0_360
42 0.05152 0.00481 0.05325 0.004655 0.06675 0.003452 0.1313 0.003165 0.1601 0.004352 0.1644 0.003921 0.1756 0.004247 0.2009 0.03135 0.1522 0.1265 0.1382 0.1277 1.5199999809265137 0.0 367.0 0_367
43 0.8605 0.01868 0.9658 0.01772 1.423 0.01302 2.537 0.01174 2.752 0.01691 2.768 0.01462 2.954 0.01316 3.393 0.06621 -67.0 -67.0 -67.0 -67.0 1.2740000486373901 0.0 370.0 0_370
44 0.5394 0.01045 0.5517 0.008967 0.657 0.006538 1.095 0.005774 1.176 0.008214 1.167 0.007356 1.21 0.00603 1.428 0.0353 1.951 0.1515 1.888 0.1466 1.4244999885559082 0.0 375.0 0_375
45 0.02685 0.009681 0.03071 0.009274 0.05365 0.006996 0.1362 0.005115 0.167 0.006969 0.1574 0.006231 0.1784 0.006818 0.2504 0.04742 -67.0 -67.0 -67.0 -67.0 1.4294999837875366 0.0 383.0 0_383
46 0.07955 0.006068 0.09346 0.005902 0.08612 0.004329 0.08528 0.003909 0.08989 0.005313 0.1046 0.004747 0.1264 0.005856 0.1534 0.04144 -0.1621 0.153 -0.2691 0.1551 2.4765000343322754 0.0 393.0 0_393
47 0.01642 0.005555 0.04863 0.005671 0.08684 0.004229 0.1168 0.003801 0.1355 0.005363 0.1299 0.004642 0.1348 0.005406 0.3077 0.04483 -67.0 -67.0 -67.0 -67.0 1.3736000061035156 0.0 403.0 0_403
48 0.1748 0.008951 0.1814 0.008452 0.1545 0.006201 0.2003 0.005627 0.2452 0.007639 0.2416 0.006875 0.186 0.006807 0.2227 0.0471 0.3291 0.158 0.365 0.15 1.659999966621399 0.0 412.0 0_412
49 0.01233 0.006155 0.02046 0.006396 0.03733 0.004768 0.05307 0.004475 0.05505 0.005987 0.05836 0.005422 0.06831 0.006897 0.117 0.03954 0.5613 0.1296 0.6217 0.1306 4.474999904632568 0.0 416.0 0_416
50 0.007476 0.00523 0.02621 0.005508 0.02856 0.004045 0.03407 0.003699 0.0502 0.004995 0.05805 0.004491 0.08645 0.00537 0.1593 0.03879 0.005052 0.225 0.05961 0.1796 2.998199939727783 0.0 418.0 0_418
51 0.0752 0.00605 0.1514 0.006054 0.1702 0.004424 0.1848 0.003928 0.2221 0.005405 0.2865 0.004894 0.3062 0.004931 0.3835 0.03848 -67.0 -67.0 -67.0 -67.0 2.6545000076293945 0.0 427.0 0_427
52 0.06502 0.005865 0.07818 0.005656 0.1092 0.00422 0.1863 0.003812 0.2272 0.005311 0.2299 0.004779 0.2093 0.003971 0.2634 0.03584 0.141 0.2123 -0.0158 0.1996 1.2200000286102295 0.0 428.0 0_428
53 0.01653 0.00465 0.1057 0.004878 0.1218 0.003608 0.1091 0.003184 0.1071 0.004332 0.1081 0.003907 0.09188 0.004596 0.2501 0.03394 0.1367 0.1193 0.1758 0.1856 3.5815000534057617 0.0 436.0 0_436
54 0.3064 0.01089 0.477 0.0107 0.5141 0.007847 0.6431 0.007011 0.7652 0.009683 1.014 0.008752 1.276 0.007566 1.601 0.03958 2.146 0.1306 2.437 0.1311 2.5399999618530273 0.0 438.0 0_438
55 1.125 0.01428 1.215 0.01182 1.306 0.008476 1.967 0.00735 2.438 0.01063 2.47 0.009554 2.247 0.008008 2.784 0.04354 3.745 0.1762 4.105 0.1637 1.6640000343322754 0.0 442.0 0_442
56 0.009511 0.004251 0.02865 0.004322 0.02442 0.003268 0.03504 0.004237 0.07306 0.00598 0.0858 0.005315 0.1028 0.005886 0.1408 0.0351 0.4775 0.1002 0.3988 0.1093 2.174999952316284 0.0 448.0 0_448
57 0.1048 0.008849 0.1235 0.007702 0.1398 0.005595 0.2447 0.004819 0.312 0.006631 0.3705 0.005996 0.3422 0.006612 0.3816 0.04193 0.2776 0.2378 0.1887 0.2179 1.684999942779541 0.0 464.0 0_464
58 0.4294 0.009694 0.463 0.008467 0.4225 0.00611 0.442 0.005338 0.475 0.007382 0.652 0.0067 0.7223 0.006213 0.4665 0.03836 -67.0 -67.0 0.1662 0.187 2.0250000953674316 0.0 474.0 0_474
59 0.06469 0.009665 0.08623 0.00983 0.1224 0.007223 0.1326 0.00662 0.1836 0.008886 0.1954 0.008069 0.2101 0.01191 0.2891 0.0564 -67.0 -67.0 -67.0 -67.0 1.9900000095367432 0.0 523.0 0_523
60 0.07339 0.01059 0.1265 0.01085 0.143 0.007972 0.183 0.007205 0.2124 0.009769 0.2468 0.008748 0.295 0.008549 0.3517 0.0542 0.2658 0.2179 0.3825 0.1852 1.9580999612808228 0.0 533.0 0_533
61 0.126 0.01276 0.1876 0.0129 0.168 0.009433 0.2171 0.0086 0.3085 0.01167 0.326 0.0105 0.342 0.01205 0.2788 0.05357 -67.0 -67.0 -67.0 -67.0 1.9639999866485596 0.0 542.0 0_542
62 0.02642 0.005552 0.04099 0.005631 0.04785 0.004114 0.09813 0.003708 0.1062 0.005156 0.1127 0.004541 0.109 0.004744 0.165 0.04116 -67.0 -67.0 -67.0 -67.0 1.3700000047683716 0.0 546.0 0_546
63 0.11 0.006773 0.1198 0.006444 0.1082 0.004683 0.1199 0.004195 0.1789 0.005769 0.228 0.005186 0.2278 0.005595 0.332 0.04284 -67.0 -67.0 0.1076 0.1099 2.1500000953674316 0.0 564.0 0_564
64 0.02156 0.007615 0.09524 0.007056 0.1727 0.005245 0.1878 0.005725 0.21 0.007918 0.2419 0.006997 0.2275 0.008428 0.6395 0.03845 0.4627 0.2172 0.5805 0.194 3.638400077819824 0.0 612.0 0_612
65 0.03897 0.005199 0.05885 0.00519 0.06441 0.003789 0.0657 0.003414 0.09146 0.004675 0.1211 0.004197 0.141 0.00456 0.2359 0.03819 0.4304 0.1164 0.4978 0.1165 2.441999912261963 0.0 620.0 0_620
