

    0.124056270605634551E-02    0.636421508789062500E+02    0.822429215097495003E+01    0.620581408196306672E+01    0.333556503057479858E+00    0.796027718793056493E+01    0.791569769279969471E+01   -0.195752626203961277E+00
    0.123421864048305508E-02    0.636373672485351562E+02    0.927608422525195842E+01    0.671134399478906385E+01    0.219128203392028809E+01    0.782517567962422156E+01    0.793600667766982060E+01   -0.174874030938900860E+01
    0.124417869380586050E-02    0.636062545776367188E+02    0.860478935768045794E+01    0.671809103909677408E+01    0.549451947212219238E+00    0.790870284011513114E+01    0.803734669815696812E+01   -0.591118050646183280E+00
    0.125537271058218450E-02    0.635733032226562500E+02    0.724962455912486714E+01    0.544618021959976328E+01    0.176188219338655472E-01    0.722666260651836190E+01    0.954881562609718770E+01   -0.200767635830532365E+01
    0.125121803945950458E-02    0.635648956298828125E+02    0.710691447517926722E+01    0.572045042821306460E+01    0.251367855817079544E-01    0.657436750105376078E+01    0.934680558272313533E+01   -0.149866567159456743E+01
    0.125984380566967645E-02    0.635361175537109375E+02    0.807321422101672859E+01    0.664289156092499233E+01    0.125219002366065979E+00    0.830876794239493321E+01    0.102465407464928191E+02   -0.171655622365173133E+01
    0.125848442732130468E-02    0.635232391357421875E+02    0.872845632492903079E+01    0.787922942742732779E+01    0.373174428939819336E+00    0.808536018237063914E+01    0.852666470601979398E+01   -0.122846741734194320E+01
    0.125970436935806925E-02    0.635062637329101562E+02    0.737721249143866853E+01    0.641472441524099413E+01    0.170409068465232849E+00    0.694095649744800092E+01    0.952766792388812078E+01   -0.122040977804680240E+01
    0.126478423558124280E-02    0.634831771850585938E+02    0.929957342855161428E+01    0.779041356338727375E+01    0.876720607280731201E+00    0.853786954995575975E+01    0.972487452753902382E+01   -0.206851167583148499E+01
    0.126690404732825949E-02    0.634647903442382812E+02    0.882708006141578672E+01    0.805858729239984761E+01    0.537908732891082764E+00    0.827194490770314594E+01    0.918854450960580138E+01   -0.139066079054321667E+01
    0.129893817975120819E-02    0.633998107910156250E+02    0.908715720298619622E+01    0.589966114210458858E+01    0.972303926944732666E+00    0.848354851967588708E+01    0.102653826202031127E+02   -0.142984146236014364E+01
    0.130379323804895308E-02    0.633773117065429688E+02    0.747064023014680068E+01    0.698668161893272011E+01    0.164202988147735596E+00    0.613420533299446902E+01    0.100487115758481398E+02   -0.128215209530057450E+01
    0.131488644080585680E-02    0.633453292846679688E+02    0.827966343036340469E+01    0.832180463731112319E+01    0.116278037428855896E+00    0.769352880700398600E+01    0.984346906884784900E+01   -0.648269232835655851E+00
    0.131297172713543651E-02    0.633332061767578125E+02    0.802354889461868481E+01    0.614785954597326700E+01    0.407320469617843628E+00    0.765161744150775558E+01    0.968055688528636793E+01   -0.956226799180989850E+00
    0.130738401012555532E-02    0.633266983032226562E+02    0.791001600746395361E+01    0.533320087928251763E+01    0.368153959512710571E+00    0.776823717067327202E+01    0.910845511689609566E+01   -0.111008710260740284E+01
    0.130230683703100683E-02    0.633194427490234375E+02    0.815703146189321515E+01    0.702481524418094772E+01    0.288591742515563965E+00    0.798209375889422024E+01    0.805894310945641301E+01   -0.187491885984856266E+01
    0.134281124127575086E-02    0.632431488037109375E+02    0.836374870127475134E+01    0.648922236118676654E+01    0.396056026220321655E+00    0.809309316852075966E+01    0.101432509836498603E+02   -0.581622116423291535E+00
    0.134928098583329543E-02    0.632184982299804688E+02    0.771734897969507827E+01    0.702985737597103810E+01    0.735214799642562866E-01    0.784382149760376546E+01    0.894069675870882286E+01   -0.133058295247524461E+01
    0.134634001661515556E-02    0.632078247070312500E+02    0.838357900954012081E+01    0.687517197199575936E+01    0.632568776607513428E+00    0.783278118141098822E+01    0.886195911024495686E+01   -0.133195861027024520E+01
    0.141429319234138940E-02    0.630943069458007812E+02    0.849041706654690387E+01    0.707779726722133873E+01    0.225840106606483459E+00    0.826291708467559616E+01    0.834896311685849923E+01   -0.218546600619687004E+00
    0.142611439024365903E-02    0.630626220703125000E+02    0.814033214593653653E+01    0.677219780627682066E+01    0.442667484283447266E+00    0.777452984365558475E+01    0.952663797278868429E+01   -0.124096978922640933E+01
    0.142037022284946459E-02    0.630556564331054688E+02    0.856157471610226750E+01    0.702938223579362109E+01    0.729065164923667908E-01    0.862349412271544757E+01    0.840281658690297029E+01   -0.196494082359370981E+01
    0.141115660550596676E-02    0.630536346435546875E+02    0.795911560464115375E+01    0.814835907036501439E+01    0.222332641482353210E+00    0.686388696316106017E+01    0.771820503837172556E+01   -0.134246609199423261E+01
    0.141307426297637663E-02    0.630358810424804688E+02    0.878845338416829946E+01    0.668111048744277713E+01    0.310979574918746948E+00    0.872206354327744293E+01    0.104023297306937277E+02   -0.769386064070433751E+00
