    0.892036418088180483E+01    0.588714297492809813E+01    0.110585200786590576E+01    0.791231838469200977E+01    0.104467621720745250E+02   -0.695756791813542774E+00   -0.238969116210937500E+02
    0.858577441220877446E+01    0.522044558819417581E+01    0.958115339279174805E+00    0.793022238697165971E+01    0.920595315109478207E+01   -0.202611308746085461E+01   -0.230638504028320312E+02
    0.825631255611031634E+01    0.638981536260827632E+01    0.358034431934356689E+00    0.757913525783868014E+01    0.774624660280752586E+01   -0.205658320551451324E+01   -0.229016609191894531E+02
    0.802283922726996579E+01    0.562071475893537720E+01    0.507008433341979980E+00    0.697379487989013835E+01    0.816646793967567852E+01   -0.953283765510251735E+00   -0.228423728942871094E+02
    0.792468522783633578E+01    0.100841004206988893E+01    0.123456037044525146E+01    0.877379644221994148E+01    0.779551912708084771E+01   -0.660470506551634973E+00   -0.228186740875244141E+02
    0.821049311031742235E+01    0.553159418639639000E+01    0.631076276302337646E+00    0.743126001701855898E+01    0.732536515583848846E+01   -0.149080742574431380E+01   -0.225830268859863281E+02
    0.914038323070399095E+01    0.526262409339391368E+01    0.101241302490234375E+01    0.831926296556737199E+01    0.802069703780241383E+01   -0.763578833343708352E+00   -0.224389419555664062E+02
    0.951177704066511609E+01    0.463129400954973391E+01    0.220857930183410645E+01    0.866238280885527345E+01    0.931216550126623055E+01   -0.315531320242659064E-01   -0.220750808715820312E+02
    0.799828905122656231E+01    0.508769944687868225E+01    0.511091649532318115E+00    0.704636345014304410E+01    0.978856928252112723E+01   -0.102406424918877925E+01   -0.220265274047851562E+02
    0.833122817493608459E+01    0.143432116692862510E+01    0.822581827640533447E+00    0.884389797689184043E+01    0.720813635039162914E+01   -0.198507890777836371E+01   -0.219673194885253906E+02
    0.793240542778528557E+01    0.515492050421215620E+01    0.469729661941528320E+00    0.637618341378592657E+01    0.909009458911873303E+01   -0.108348112572458377E+01   -0.217922744750976562E+02
    0.810657260164700055E+01    0.625791592188623280E+01    0.154448688030242920E+00    0.780836912649525061E+01    0.806026638086315828E+01   -0.252471447831099649E+00   -0.217037200927734375E+02
    0.946457131597210832E+01    0.472398926918585360E+01    0.285615062713623047E+01    0.826352765100112130E+01    0.810544167710864372E+01   -0.110466046420126474E+01   -0.215126838684082031E+02
    0.796277104133392033E+01    0.593888594138080261E+01    0.104979015886783600E+00    0.779840277735571430E+01    0.853259632322354733E+01   -0.103298675105362325E+01   -0.214241104125976562E+02
    0.966270871938358233E+01    0.642447319888615365E+01    0.827732086181640625E+00    0.864672017480747712E+01    0.809389466049715445E+01   -0.941421157931304320E+00   -0.213991317749023438E+02
    0.880485961100910863E+01    0.604111900725264039E+01    0.700048983097076416E+00    0.819602685496890970E+01    0.863620871317001715E+01   -0.160467834468698722E+00   -0.213122444152832031E+02
    0.904796727896874842E+01    0.598179643696522856E+01    0.540709197521209717E+00    0.865022563931827193E+01    0.893598052510169083E+01   -0.468093360929230817E+00   -0.212990703582763672E+02
    0.909994159481518849E+01    0.501721670978108403E+01    0.701058745384216309E+00    0.867916719500186673E+01    0.896278559533081243E+01   -0.355131484363759853E-01   -0.212876014709472656E+02
    0.809390258052640377E+01    0.533532723836554013E+01    0.424939185380935669E+00    0.749765174088776831E+01    0.798206139563269179E+01   -0.922873572221741378E+00   -0.212485504150390625E+02
    0.891728642211864475E+01    0.500125756855041548E+01    0.706272661685943604E+00    0.842140873956592451E+01    0.854592916796193158E+01    0.105412872214865061E+00   -0.212357597351074219E+02
    0.783005552917149750E+01    0.537483050403363638E+01    0.256227791309356689E+00    0.720655419549967924E+01    0.866785764189383023E+01   -0.217261576166717996E+01   -0.212126998901367188E+02
    0.917085994565633555E+01    0.599819326298547928E+01    0.167327928543090820E+01    0.811909722443781234E+01    0.995324016732761763E+01   -0.640900625360286913E+00   -0.212058944702148438E+02
    0.976543208679450103E+01    0.459521002974678616E+01    0.246690940856933594E+01    0.880229762494442802E+01    0.852290546010997296E+01   -0.141664983131272804E+01   -0.211867561340332031E+02
    0.912592743522454342E+01    0.397986697098227626E+01    0.256463098526000977E+01    0.799400573751777888E+01    0.772514962690792206E+01   -0.713176112073975244E+00   -0.210891952514648438E+02
    0.778037509220043511E+01    0.539354876906771619E+01    0.344327747821807861E+00    0.658240422792019508E+01    0.739664288822273619E+01   -0.177401081012463635E+01   -0.210509643554687500E+02
    0.949670431832068296E+01    0.453428169786685142E+01    0.247006368637084961E+01    0.854985259235977679E+01    0.848470952990234650E+01   -0.155019718621597224E+01   -0.210419044494628906E+02
    0.809652219283027463E+01    0.617976835266087043E+01    0.135510593652725220E+00    0.761042781338961216E+01    0.728209646698329038E+01   -0.212282657211484427E-01   -0.210364341735839844E+02
