#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
27 0.01753 0.004439 0.02532 0.004039 0.03402 0.003665 0.0792 0.00323 0.08103 0.004712 0.08147 0.004579 0.08685 0.005296 0.09975 0.04112 0.2209 0.1083 0.2707 0.0971 1.355 1.0 1233.0
28 0.0005994 0.004565 0.01189 0.004257 0.009051 0.003784 0.02928 0.003431 0.0248 0.005017 0.03396 0.004931 0.03568 0.005082 0.01073 0.03758 0.07553 0.1356 0.06901 0.1061 1.373 1.0 1369.0
29 0.00153 0.003015 0.002744 0.00289 0.00442 0.002644 0.01957 0.002474 0.02216 0.003621 0.01822 0.003489 0.02382 0.00343 0.0465 0.03051 -0.1905 0.1394 -0.2763 0.1006 1.4 1.0 2058.0
30 0.002366 0.002375 0.004582 0.002158 0.003296 0.001909 0.007969 0.001699 0.007132 0.002478 0.01032 0.002412 0.006283 0.002095 0.003189 0.03169 0.1031 0.1072 0.1113 0.09507 1.425 1.0 20851.0
31 0.03779 0.003278 0.03729 0.003029 0.04061 0.002778 1.682 0.006788 0.1238 0.006033 0.09364 0.005658 0.07075 0.005704 -0.2975 0.03466 -0.002114 0.1215 -0.02252 0.091 1.455 1.0 2165.0
32 0.006847 0.003755 0.01573 0.003441 0.01627 0.003119 0.03463 0.002826 0.03948 0.004148 0.05447 0.004029 0.05311 0.005774 0.0554 0.03451 0.4733 0.2122 0.4628 0.1576 1.48 1.0 1049.0
33 0.01142 0.003178 0.006609 0.002858 0.01037 0.002663 0.01186 0.002337 0.01288 0.003415 0.01506 0.003297 0.01359 0.002868 -0.05795 0.03503 -0.04569 0.1179 -0.1169 0.104 1.56 1.0 20502.0
34 0.01966 0.003237 0.02582 0.003023 0.06444 0.002841 0.1658 0.002593 0.2531 0.003954 0.3106 0.00394 0.3568 0.002848 0.4074 0.03364 0.6597 0.5576 0.2746 0.499 1.5872 1.0 1837.0
35 3.711 0.03057 8.709 0.03022 14.96 0.02933 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 2.121 0.05678 35.42 2.062 30.72 1.033 1.6625 1.0 2237.0
36 0.002722 0.009881 0.01589 0.00927 0.0005788 0.008381 0.01867 0.007635 0.02738 0.01113 0.03812 0.01082 0.01626 0.009378 -0.006532 0.03588 -0.02217 0.1445 0.03463 0.123 1.6775 1.0 20669.0
37 0.04022 0.00258 0.03238 0.002236 0.02983 0.001999 0.03196 0.002004 0.04851 0.002843 0.04054 0.002706 0.01932 0.00297 0.007654 0.03015 -0.03248 0.1945 -0.04603 0.1496 1.691 1.0 2205.0
38 0.003409 0.003328 0.002428 0.002997 0.004659 0.002708 0.006247 0.002494 0.01489 0.00361 0.006277 0.003496 0.01067 0.003056 0.02733 0.03138 -0.2587 0.1048 -0.2751 0.09325 1.7545 1.0 21662.0
39 0.05768 0.005897 0.1324 0.005318 0.1818 0.00459 0.1894 0.003858 0.1972 0.005655 0.1949 0.005485 0.2147 0.00586 0.2885 0.03994 0.2483 0.1448 0.2109 0.1236 1.81775 1.0 1320.0
40 0.004064 0.002584 0.005197 0.002349 0.003757 0.002123 0.005595 0.001906 0.008954 0.002912 0.0108 0.00271 0.008936 0.002325 0.03838 0.03203 0.3365 0.4535 0.3073 0.3643 1.83 1.0 21888.0
41 -0.002616 0.007056 0.001764 0.006536 0.04434 0.005981 0.05426 0.005294 0.1331 0.007978 0.1318 0.007696 0.1131 0.006516 -0.07956 0.04913 -0.2483 0.1508 -0.2059 0.1328 1.9 1.0 554.0
42 0.3139 0.005477 0.3443 0.004888 0.3513 0.004387 0.4022 0.009045 0.5592 0.01024 0.0 -99.0 0.6239 0.0449 0.696 0.03311 1.498 0.1129 1.586 0.08828 1.9864 1.0 2194.0
43 0.3121 0.008811 0.4173 0.008094 0.507 0.007359 0.7442 0.006528 1.175 0.00982 1.455 0.009657 1.642 0.008447 2.516 0.04613 2.827 0.1343 3.047 0.1175 2.0775 1.0 134.0
44 0.1376 0.007483 0.1832 0.006945 0.2027 0.006217 0.2941 0.005533 0.4388 0.008178 0.5766 0.007992 0.6499 0.008108 0.7844 0.04839 0.6975 0.121 0.7194 0.09567 2.13 1.0 1669.0
45 0.004901 0.002223 0.004905 0.002016 0.004232 0.001829 0.005281 0.001627 0.006479 0.002393 0.006028 0.002318 0.009422 0.002981 -0.008733 0.02822 -0.0134 0.1067 0.04283 0.09203 2.2015 1.0 1599.0
46 0.0258 0.004884 0.02904 0.004439 0.02265 0.003877 0.02818 0.003404 0.02969 0.00495 0.03081 0.004843 0.03944 0.005776 0.08059 0.03878 0.1617 0.2417 0.0183 0.2105 2.203 1.0 1284.0
47 0.00313 0.007959 0.009749 0.007218 0.005791 0.006462 0.01481 0.005876 0.03178 0.00859 0.04025 0.00841 0.05654 0.007011 -0.03661 0.03851 -0.2664 0.2423 -0.2841 0.2022 2.2065 1.0 1154.0
48 0.04032 0.00628 0.04419 0.00567 0.04449 0.004919 0.05179 0.004265 0.0673 0.006283 0.0855 0.006071 0.1013 0.008268 0.1088 0.0431 0.1293 0.1474 0.2029 0.1262 2.25 1.0 867.0
49 0.0005335 0.003332 0.003548 0.003076 0.0068 0.002787 0.003501 0.002462 0.0114 0.003655 0.01391 0.003497 0.01602 0.003049 -0.009664 0.03735 0.1519 0.108 0.1091 0.09894 2.26045 1.0 21129.0
50 0.01074 0.004355 0.003899 0.003747 0.008026 0.003306 0.006818 0.002926 0.008946 0.004319 0.0121 0.004149 0.01826 0.004067 0.000503 0.03105 0.008084 0.1205 0.04243 0.1377 2.333 1.0 643.0
