Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
2.49269,0.0237089,0,0,0,-2
2.49274,0.0237283,0,0,0,-2
2.49354,0.022508,0,0,0,-2
2.49359,0.0224367,0,0,0,-2
2.49439,0.0217627,0,0,0,-2
2.49444,0.021786,0,0,0,-2
2.49524,0.0227375,0,0,0,-2
2.49604,0.0236649,0,0,0,-2
2.49609,0.0237064,0,0,0,-2
2.49688,0.0241193,0,0,0,-2
2.49773,0.0222511,0,0,0,-2
2.49853,0.0220067,0,0,0,-2
2.49858,0.0220104,0,0,0,-2
2.49938,0.0219769,0,0,0,-2
2.50018,0.0214773,0,0,0,-2
2.50023,0.0214257,0,0,0,-2
2.50103,0.0200505,0,0,0,-2
2.50108,0.0200726,0,0,0,-2
2.50188,0.0216483,0,0,0,-2
2.50268,0.022248,0,0,0,-2
2.50273,0.0222594,0,0,0,-2
2.50354,0.0219575,0,0,0,-2
2.50359,0.0219491,0,0,0,-2
2.50439,0.0219386,0,0,0,-2
2.50519,0.0229994,0,0,0,-2
2.50524,0.0230466,0,0,0,-2
2.50604,0.0229803,0,0,0,-2
2.50609,0.022985,0,0,0,-2
2.50684,0.0231237,0,0,0,-2
2.50689,0.0231282,0,0,0,-2
2.50769,0.0229304,0,0,0,-2
2.50774,0.0228662,0,0,0,-2
2.50855,0.0213104,0,0,0,-2
2.50935,0.0215445,0,0,0,-2
2.5094,0.0216019,0,0,0,-2
2.5102,0.0229295,0,0,0,-2
2.51101,0.0224413,0,0,0,-2
2.51106,0.0224537,0,0,0,-2
2.51186,0.0244751,0,0,0,-2
2.51266,0.0235158,0,0,0,-2
2.51272,0.0234544,0,0,0,-2
2.51518,0.0238374,0,0,0,-2
2.51523,0.0238529,0,0,0,-2
2.51603,0.0242146,0,0,0,-2
2.51684,0.025348,0,0,0,-2
2.51689,0.0252902,0,0,0,-2
2.5177,0.0226787,0,0,0,-2
2.5185,0.0229333,0,0,0,-2
2.51855,0.0229874,0,0,0,-2
2.51936,0.0237561,0,0,0,-2
2.52016,0.0242494,0,0,0,-2
2.52021,0.0242985,0,0,0,-2
2.52102,0.0254646,0,0,0,-2
2.52107,0.0254764,0,0,0,-2
2.52183,0.0251888,0,0,0,-2
2.52188,0.0251463,0,0,0,-2
2.52269,0.0242821,0,0,0,-2
2.52349,0.0237601,0,0,0,-2
2.52354,0.023756,0,0,0,-2
2.52435,0.0241188,0,0,0,-2
2.52516,0.0253114,0,0,0,-2
2.52521,0.0253752,0,0,0,-2
2.52602,0.0258335,0,0,0,-2
2.52683,0.0250469,0,0,0,-2
2.52688,0.0250144,0,0,0,-2
2.53183,0.0234189,0,0,0,-2
2.53264,0.0210257,0,0,0,-2
2.53269,0.020965,0,0,0,-2
2.53599,0.0229351,0,0,0,-2
2.53604,0.0229512,0,0,0,-2
2.5368,0.0230776,0,0,0,-2
2.53685,0.0231198,0,0,0,-2
2.53766,0.0245671,0,0,0,-2
2.53848,0.0265636,0,0,0,-2
2.53853,0.0266226,0,0,0,-2
2.55345,0.0257307,0,0,0,-2
2.5535,0.0257418,0,0,0,-2
2.55431,0.0264541,0,0,0,-2
2.55513,0.0279923,0,0,0,-2
2.55595,0.0261065,0,0,0,-2
2.556,0.0259554,0,0,0,-2
2.55677,0.0233257,0,0,0,-2
2.55682,0.0231884,0,0,0,-2
2.82691,0.0284809,0,0,0,-2
2.82696,0.0284636,0,0,0,-2
