Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
1.52053,0.0146385,0,0,0,-2
1.52056,0.0146214,0,0,0,-2
1.5208,0.014584,0,0,0,-2
1.52083,0.0145824,0,0,0,-2
1.52111,0.0146228,0,0,0,-2
1.52138,0.0142725,0,0,0,-2
1.52141,0.0142252,0,0,0,-2
1.52165,0.0137883,0,0,0,-2
1.52169,0.013756,0,0,0,-2
1.52196,0.0138435,0,0,0,-2
1.52223,0.0141032,0,0,0,-2
1.52226,0.0141267,0,0,0,-2
1.52251,0.014279,0,0,0,-2
1.52254,0.0143038,0,0,0,-2
1.52278,0.0145732,0,0,0,-2
1.52281,0.0146095,0,0,0,-2
1.52309,0.0149736,0,0,0,-2
1.52336,0.0148611,0,0,0,-2
1.52339,0.0148327,0,0,0,-2
1.52363,0.0144845,0,0,0,-2
1.52366,0.0144465,0,0,0,-2
1.52394,0.01422,0,0,0,-2
1.52421,0.0144406,0,0,0,-2
1.52424,0.0144852,0,0,0,-2
1.52449,0.0149648,0,0,0,-2
1.52452,0.0150074,0,0,0,-2
1.52476,0.0151383,0,0,0,-2
1.52479,0.0151464,0,0,0,-2
1.52507,0.0150775,0,0,0,-2
1.5251,0.0150831,0,0,0,-2
1.52534,0.0151949,0,0,0,-2
1.52537,0.0152098,0,0,0,-2
1.52562,0.0153376,0,0,0,-2
1.52565,0.0153203,0,0,0,-2
1.52592,0.0146969,0,0,0,-2
1.5262,0.0136728,0,0,0,-2
1.52623,0.0136151,0,0,0,-2
1.52647,0.0134629,0,0,0,-2
1.5265,0.0134909,0,0,0,-2
1.52678,0.0141427,0,0,0,-2
1.52705,0.0146862,0,0,0,-2
1.52733,0.0148184,0,0,0,-2
1.52736,0.0147926,0,0,0,-2
1.5276,0.014375,0,0,0,-2
1.52763,0.0143169,0,0,0,-2
1.52791,0.0138347,0,0,0,-2
1.52818,0.0138685,0,0,0,-2
1.52846,0.014446,0,0,0,-2
1.52849,0.0145144,0,0,0,-2
1.52873,0.0150759,0,0,0,-2
1.52876,0.0151231,0,0,0,-2
1.52904,0.0149858,0,0,0,-2
1.52931,0.0145697,0,0,0,-2
1.52959,0.0149058,0,0,0,-2
1.52962,0.0149765,0,0,0,-2
1.52986,0.0156491,0,0,0,-2
1.52989,0.0157209,0,0,0,-2
1.53017,0.0160868,0,0,0,-2
1.53044,0.0162386,0,0,0,-2
1.53048,0.0162412,0,0,0,-2
1.53072,0.0161796,0,0,0,-2
1.53075,0.0161779,0,0,0,-2
1.531,0.0162075,0,0,0,-2
1.53103,0.0162121,0,0,0,-2
1.5313,0.0162625,0,0,0,-2
1.53158,0.0160276,0,0,0,-2
1.53161,0.0160109,0,0,0,-2
1.53185,0.0159265,0,0,0,-2
1.53188,0.0159333,0,0,0,-2
1.53216,0.016109,0,0,0,-2
1.53244,0.0159095,0,0,0,-2
1.53271,0.0153355,0,0,0,-2
1.53299,0.0152753,0,0,0,-2
1.53302,0.0152743,0,0,0,-2
1.53326,0.0151736,0,0,0,-2
1.53329,0.0151791,0,0,0,-2
1.53357,0.0155903,0,0,0,-2
1.53385,0.0161505,0,0,0,-2
1.53388,0.0161777,0,0,0,-2
1.53412,0.0162088,0,0,0,-2
1.53415,0.016216,0,0,0,-2
1.5344,0.0162912,0,0,0,-2
1.53443,0.0163072,0,0,0,-2
1.53471,0.0165142,0,0,0,-2
1.53498,0.0165025,0,0,0,-2
1.53526,0.0164539,0,0,0,-2
1.53529,0.0164587,0,0,0,-2
1.53553,0.016545,0,0,0,-2
1.53556,0.0165523,0,0,0,-2
1.53581,0.0165205,0,0,0,-2
1.53584,0.0165161,0,0,0,-2
1.53612,0.0165104,0,0,0,-2
1.53639,0.0166162,0,0,0,-2
1.53642,0.0166013,0,0,0,-2
1.53667,0.016321,0,0,0,-2
1.5367,0.016252,0,0,0,-2
1.53695,0.0154506,0,0,0,-2
1.53698,0.0153599,0,0,0,-2
1.53725,0.0146963,0,0,0,-2
1.53753,0.0149566,0,0,0,-2
1.53781,0.0155835,0,0,0,-2
1.53784,0.0155974,0,0,0,-2
1.53809,0.0154589,0,0,0,-2
1.53812,0.0154263,0,0,0,-2
1.53836,0.0151557,0,0,0,-2
1.53839,0.0151351,0,0,0,-2
1.53867,0.0152849,0,0,0,-2
1.53895,0.0157559,0,0,0,-2
1.53898,0.0157869,0,0,0,-2
1.53922,0.0159255,0,0,0,-2
1.53925,0.0159269,0,0,0,-2
1.5395,0.015838,0,0,0,-2
1.53953,0.0158235,0,0,0,-2
1.53981,0.0156642,0,0,0,-2
1.54009,0.0154893,0,0,0,-2
1.54036,0.0154597,0,0,0,-2
1.54064,0.0152873,0,0,0,-2
1.54067,0.0153033,0,0,0,-2
1.54092,0.0156956,0,0,0,-2
1.54095,0.0157787,0,0,0,-2
1.5412,0.016755,0,0,0,-2
1.54123,0.0168472,0,0,0,-2
1.5415,0.0171693,0,0,0,-2
1.54178,0.0164603,0,0,0,-2
1.54206,0.0155454,0,0,0,-2
1.54209,0.0154635,0,0,0,-2
1.54234,0.0148958,0,0,0,-2
1.54237,0.0148354,0,0,0,-2
1.54261,0.0144111,0,0,0,-2
1.54264,0.0144095,0,0,0,-2
1.54289,0.015175,0,0,0,-2
1.54292,0.015285,0,0,0,-2
1.5432,0.0162049,0,0,0,-2
1.54348,0.0165926,0,0,0,-2
1.54351,0.0166667,0,0,0,-2
1.54376,0.0174143,0,0,0,-2
1.54379,0.0175166,0,0,0,-2
1.54403,0.0183851,0,0,0,-2
1.54406,0.0184635,0,0,0,-2
1.54431,0.0185815,0,0,0,-2
1.54434,0.0185831,0,0,0,-2
1.54459,0.0185554,0,0,0,-2
1.54462,0.0185489,0,0,0,-2
1.5449,0.0184682,0,0,0,-2
1.54493,0.0184544,0,0,0,-2
1.54518,0.0183225,0,0,0,-2
1.54521,0.0182842,0,0,0,-2
1.54545,0.0178658,0,0,0,-2
1.54549,0.0177991,0,0,0,-2
1.54573,0.0171842,0,0,0,-2
1.54576,0.0171245,0,0,0,-2
1.54601,0.0169866,0,0,0,-2
1.54604,0.0169902,0,0,0,-2
1.54629,0.0172946,0,0,0,-2
1.54632,0.0173388,0,0,0,-2
1.5466,0.0176837,0,0,0,-2
1.54663,0.0177074,0,0,0,-2
1.54688,0.0178309,0,0,0,-2
1.54691,0.0178305,0,0,0,-2
1.54716,0.0177487,0,0,0,-2
1.54719,0.0177506,0,0,0,-2
1.54743,0.0178282,0,0,0,-2
1.54746,0.0178441,0,0,0,-2
1.54771,0.018025,0,0,0,-2
1.54774,0.0180542,0,0,0,-2
1.54799,0.0183765,0,0,0,-2
1.54802,0.0184165,0,0,0,-2
1.5483,0.018714,0,0,0,-2
1.54858,0.01878,0,0,0,-2
1.54886,0.0182993,0,0,0,-2
1.54889,0.0182666,0,0,0,-2
1.54914,0.0181031,0,0,0,-2
1.54917,0.0180757,0,0,0,-2
1.54942,0.0177199,0,0,0,-2
1.54945,0.0176722,0,0,0,-2
1.54973,0.01722,0,0,0,-2
1.55,0.0170591,0,0,0,-2
1.55028,0.0170675,0,0,0,-2
1.55056,0.0169977,0,0,0,-2
1.55059,0.0170248,0,0,0,-2
1.55084,0.0174642,0,0,0,-2
1.55087,0.0175079,0,0,0,-2
1.55112,0.0177834,0,0,0,-2
1.55115,0.0178064,0,0,0,-2
1.5514,0.017909,0,0,0,-2
1.55143,0.0179299,0,0,0,-2
1.55168,0.0182973,0,0,0,-2
1.55171,0.018346,0,0,0,-2
1.55196,0.0186797,0,0,0,-2
1.55199,0.0187219,0,0,0,-2
1.55227,0.0191404,0,0,0,-2
1.55255,0.0193814,0,0,0,-2
1.55258,0.0193707,0,0,0,-2
1.55283,0.0191212,0,0,0,-2
1.55286,0.0190556,0,0,0,-2
1.55311,0.0183777,0,0,0,-2
1.55314,0.0182689,0,0,0,-2
1.55339,0.0172746,0,0,0,-2
1.55342,0.0171892,0,0,0,-2
1.55367,0.0168969,0,0,0,-2
1.5537,0.0168784,0,0,0,-2
1.55398,0.0168721,0,0,0,-2
1.55426,0.0169232,0,0,0,-2
1.55454,0.0178541,0,0,0,-2
1.55482,0.0189797,0,0,0,-2
1.55485,0.0190242,0,0,0,-2
1.5551,0.0189896,0,0,0,-2
1.55513,0.018937,0,0,0,-2
1.55538,0.0182807,0,0,0,-2
1.55541,0.0181822,0,0,0,-2
1.55566,0.0173683,0,0,0,-2
1.55569,0.0173039,0,0,0,-2
1.55594,0.0171814,0,0,0,-2
1.55597,0.0172096,0,0,0,-2
1.55625,0.017894,0,0,0,-2
1.55653,0.0181543,0,0,0,-2
1.55681,0.0178939,0,0,0,-2
1.55709,0.0178572,0,0,0,-2
1.55712,0.017854,0,0,0,-2
1.55737,0.0178253,0,0,0,-2
1.5574,0.0177495,0,0,0,-2
1.55765,0.0168369,0,0,0,-2
1.55793,0.0158724,0,0,0,-2
1.55796,0.0158401,0,0,0,-2
1.55821,0.016146,0,0,0,-2
1.55824,0.0162126,0,0,0,-2
1.55849,0.0169568,0,0,0,-2
1.55852,0.0170123,0,0,0,-2
1.55877,0.0171905,0,0,0,-2
1.5588,0.0171962,0,0,0,-2
1.55905,0.0169779,0,0,0,-2
1.55908,0.0169521,0,0,0,-2
1.55936,0.0169085,0,0,0,-2
1.55964,0.0173366,0,0,0,-2
1.55993,0.0180478,0,0,0,-2
1.56021,0.0181941,0,0,0,-2
1.56024,0.0182037,0,0,0,-2
1.56049,0.0182515,0,0,0,-2
1.56052,0.0182713,0,0,0,-2
1.56077,0.0184969,0,0,0,-2
1.5608,0.0185068,0,0,0,-2
1.56105,0.018503,0,0,0,-2
