Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
3.05373,0.018975,0,0,0,-2
3.05514,0.0393736,0,0,0,-2
3.05655,0.0221612,0,0,0,-2
3.05795,0.00498227,0,0,0,-2
3.05936,0.000780675,0,0,0,-2
3.06077,0.00124809,0,0,0,-2
3.06217,0.00234765,0,0,0,-2
3.06358,0.00040044,0,0,0,-2
3.06499,-0.00149219,0,0,0,-2
3.06639,-0.00068623,0,0,0,-2
3.0678,0.000315128,0,0,0,-2
3.0692,0.00783052,0,0,0,-2
3.07061,0.0123431,0,0,0,-2
3.07201,0.00191981,0,0,0,-2
3.07342,-0.000247709,0,0,0,-2
3.07482,0.00369043,0,0,0,-2
3.07623,0.00586732,0,0,0,-2
3.07763,0.00402189,0,0,0,-2
3.07903,0.000689596,0,0,0,-2
3.08044,0.00691708,0,0,0,-2
3.08184,0.00796283,0,0,0,-2
3.08324,0.000510303,0,0,0,-2
3.08465,-0.00276686,0,0,0,-2
3.08605,-0.00401156,0,0,0,-2
3.08745,-0.00142097,0,0,0,-2
3.08885,0.00144063,0,0,0,-2
3.09026,0.00267402,0,0,0,-2
3.09166,0.00505281,0,0,0,-2
3.09306,0.000604033,0,0,0,-2
3.09446,-0.00187962,0,0,0,-2
3.09586,0.00370307,0,0,0,-2
3.09726,0.0141424,0,0,0,-2
3.09867,0.0114186,0,0,0,-2
3.10007,0.00376367,0,0,0,-2
3.10147,0.00487453,0,0,0,-2
3.10287,0.00637066,0,0,0,-2
3.10427,0.00308532,0,0,0,-2
3.10567,-0.00590577,0,0,0,-2
3.10707,-0.0082661,0,0,0,-2
3.10847,-0.00270327,0,0,0,-2
3.10987,0.00116638,0,0,0,-2
3.11127,0.00411269,0,0,0,-2
3.11267,0.0045526,0,0,0,-2
3.11407,-0.00101224,0,0,0,-2
3.11547,0.0033036,0,0,0,-2
3.11687,0.00889792,0,0,0,-2
3.11827,0.00516399,0,0,0,-2
3.11967,0.00145511,0,0,0,-2
3.12107,0.00114608,0,0,0,-2
3.12246,0.0016513,0,0,0,-2
3.12386,0.00308682,0,0,0,-2
3.12526,0.00251538,0,0,0,-2
3.12666,0.00108354,0,0,0,-2
3.12806,-0.00333923,0,0,0,-2
3.12946,0.00362622,0,0,0,-2
3.13085,0.00918621,0,0,0,-2
3.13225,0.00519486,0,0,0,-2
3.13365,0.00523427,0,0,0,-2
3.13505,0.00766189,0,0,0,-2
3.13645,0.00613496,0,0,0,-2
3.13784,0.00160613,0,0,0,-2
3.13924,0.00253853,0,0,0,-2
3.14064,0.00612709,0,0,0,-2
3.14204,0.00562142,0,0,0,-2
3.14343,0.00543964,0,0,0,-2
3.14483,0.00799301,0,0,0,-2
3.14623,0.00884044,0,0,0,-2
3.14762,0.00675561,0,0,0,-2
3.14902,0.00542732,0,0,0,-2
3.15042,0.00453545,0,0,0,-2
3.15181,0.00491112,0,0,0,-2
3.15321,0.00462697,0,0,0,-2
3.15461,0.00510916,0,0,0,-2
3.156,0.00689111,0,0,0,-2
3.1574,0.004358,0,0,0,-2
3.15879,0.00146878,0,0,0,-2
3.16019,0.00138109,0,0,0,-2
3.16159,0.000815915,0,0,0,-2
3.16298,0.00238672,0,0,0,-2
3.16438,0.00371517,0,0,0,-2
3.16577,0.0031708,0,0,0,-2
3.16717,0.00344347,0,0,0,-2
3.16857,0.00442506,0,0,0,-2
3.16996,0.00375839,0,0,0,-2
